5000 104557
1505 2767 50.6728
2767 175 70.4816
2767 3610 61.7979
2767 780 42.2608
3610 1075 12.2544
1505 3602 66.3763
3610 1128 46.6891
3602 3884 7.6513
3610 1685 7.4718
3610 2349 91.9216
1075 3465 66.3058
1505 4750 9.1214
2349 4640 77.7759
1075 2620 12.5345
780 139 94.1555
2767 3982 53.9505
2620 2606 52.9186
3610 889 58.7334
1128 292 38.4221
3465 4791 84.3461
1075 246 84.5031
2606 4351 46.4217
3610 3094 34.6267
1075 4887 92.9526
780 3616 65.5096
175 1858 10.5693
246 3757 60.7793
3616 3631 36.7345
3616 4898 13.8895
3094 1621 25.9151
246 338 79.2502
3616 4713 45.8802
139 1949 53.2816
139 2586 99.5390
292 161 87.7031
4898 3102 90.2916
2606 4101 22.2231
3602 1347 28.7883
4640 404 12.2851
3465 4947 25.2027
161 986 51.6416
4640 1832 47.7739
2606 193 97.6478
3102 3505 13.1539
404 3996 8.5981
338 76 96.5055
2620 327 71.4904
404 481 17.0505
404 3068 70.6284
2586 1105 88.2925
3610 3278 57.8716
175 3797 16.2185
3278 3846 5.1301
3505 989 86.8904
3884 3569 59.8332
1505 4602 79.4230
76 324 25.4263
3797 4160 79.8064
3094 4292 77.2749
1621 1701 91.6635
76 179 57.6736
338 4433 59.9326
4351 592 17.6354
989 3709 52.3841
3797 1810 44.5031
161 2379 39.5278
4947 898 3.8727
327 2270 9.8997
193 1313 41.0997
1621 170 82.1198
170 2509 93.2079
3616 3793 97.4096
481 4690 41.9457
3996 4219 85.6532
3094 4374 70.0551
986 4965 91.2155
986 2212 87.9037
989 3221 43.6936
4898 3062 85.9363
3278 1578 79.9581
1832 1647 87.3779
4898 3577 70.3246
3793 2229 90.8743
986 1089 83.1397
1832 1186 38.4248
3602 1537 1.4457
3884 783 40.3128
4374 3497 52.1176
2606 4044 42.4699
139 3146 22.6693
3577 5 88.5335
3884 4608 22.4124
1186 4959 98.2810
4791 1989 70.6529
1089 1188 69.1788
783 238 58.2411
1810 1371 77.7301
1949 110 74.6573
1647 2599 69.8297
179 895 2.0438
175 4024 30.6345
76 1786 26.5582
179 2759 20.5226
175 786 18.3458
4160 2943 12.1259
2379 1673 2.3048
2379 1442 78.3911
989 4523 54.6413
4887 2479 47.4363
1505 420 27.3751
2349 3225 31.8256
2229 2154 56.8515
1186 1185 51.3604
139 4893 3.6352
1185 2627 90.1762
3577 4402 18.5281
2943 3195 6.4133
338 3502 34.2988
895 4864 13.5075
4219 2344 88.2797
2627 3390 7.8604
3602 4522 59.0959
2349 3128 1.4806
2154 4986 36.4762
3996 158 61.0351
1673 2931 4.2614
4101 2889 91.3518
3102 4261 95.9403
2344 1134 61.7811
4887 336 74.3208
292 3424 10.1742
4640 4594 69.9233
327 2163 69.3118
2759 4845 81.4498
4893 4020 33.8562
2379 2280 54.0284
4020 3321 87.6654
1673 563 18.9811
4523 363 73.2984
4713 4809 50.1301
4292 1413 55.6941
895 4284 68.5602
1810 762 47.9834
179 721 40.7050
179 4167 62.1148
1537 402 30.7251
4713 4209 66.7280
3146 2571 3.8254
3390 3992 54.8871
4893 4246 56.3083
592 820 57.8317
762 4027 57.3871
895 640 47.9705
179 3495 74.3419
336 3328 79.3477
2280 4490 76.3125
4374 4304 52.5329
4602 2132 15.7531
4690 4895 63.7026
4947 3164 85.0520
3616 4570 44.6621
1089 2908 90.7811
1128 3725 15.7210
292 3226 80.4678
786 4257 1.4539
3128 2239 11.1223
338 803 60.8269
1185 4268 95.3412
158 73 17.0257
4490 2585 54.7554
3793 354 11.4640
3068 1530 95.6465
1621 4951 50.8938
2229 3281 3.3713
2229 3137 45.9216
1673 653 63.7400
4284 4920 38.6377
4374 1064 55.3462
3137 469 12.1071
3128 1963 67.9640
4490 1942 29.3085
2627 1983 79.1310
762 4393 25.3075
4920 2019 83.0795
4887 2519 19.0369
1064 3021 71.4640
4864 3615 24.4763
1313 2003 47.8974
1701 1189 12.5070
4219 4242 89.2780
1832 1978 81.9908
2943 2366 76.8821
2586 2956 36.6796
4246 3779 90.1301
4268 1815 46.6449
3793 709 98.6474
336 2323 9.5414
780 4606 83.2588
3328 4280 56.8858
2479 1332 40.1859
640 1507 21.1391
161 174 4.9647
354 924 35.8456
4951 2456 8.6083
592 4485 57.4015
336 1464 99.3397
3424 1123 32.3889
2943 1633 20.3591
2154 3386 37.7130
4750 3654 67.4972
3062 1635 1.0713
1621 4634 1.9224
238 2744 95.1710
3992 4131 75.7863
3137 2816 14.4610
2585 708 60.2845
2239 3284 3.1150
3068 2378 1.9588
2767 1580 59.4814
4690 4812 94.0865
1786 2622 14.8851
709 3297 88.3753
4959 4810 32.2537
1185 1762 13.4100
4606 2123 4.2624
3502 999 44.8083
2571 3090 21.8058
3569 2535 65.2716
2931 1791 57.7350
1371 4115 95.6761
2943 3642 21.2402
4257 2719 92.4174
4522 2945 74.5700
4261 1443 31.1703
2719 4830 34.6133
336 4742 49.9692
2163 4036 60.3125
4608 255 35.0224
2019 4330 35.5600
4594 1036 61.9329
4947 2522 51.0715
2622 4727 89.4798
1942 3143 69.0797
4986 2463 73.5131
4713 2559 2.8395
1530 3548 16.8433
4608 1990 50.7614
708 4964 63.7762
2163 4978 87.1072
2889 4612 8.5357
1089 1202 84.2388
3497 1907 47.5450
481 61 46.0357
4292 3266 13.1172
4920 4566 67.5582
4101 3114 62.3760
2378 4923 97.3014
3328 3387 82.1523
4791 4220 41.6225
4947 2368 90.2939
820 1568 19.7481
1621 2319 99.9100
4115 827 63.6991
3779 1546 47.9442
1371 3798 16.8622
1983 331 12.9500
3102 2107 48.7867
2535 3153 81.9316
3793 1325 54.9092
4923 2629 31.3633
4864 2658 7.6667
2479 3995 53.2556
3616 2579 57.0279
4893 2592 8.5724
1186 1683 51.8650
2759 4993 34.2949
4284 2694 56.8764
4947 4569 39.6160
4602 3447 11.5533
1371 4143 8.1540
1907 824 72.3465
179 2603 33.6134
783 2502 19.6583
3569 1066 72.1813
255 2909 60.1930
653 2676 92.8823
2522 4054 57.8751
3779 1903 86.9577
404 2645 29.7455
2645 2682 12.1448
3798 1280 55.0494
363 967 16.9884
2603 3724 28.8383
924 4217 75.2261
3221 1420 14.5505
2349 2853 1.0243
4220 4082 19.6552
3297 4477 12.4773
2759 3367 26.8982
4036 1451 29.8154
1202 4395 16.0325
4742 3416 7.1065
3497 2314 84.1086
4131 1376 80.2694
4485 567 39.2637
4036 624 33.4572
2379 1519 62.8491
3143 1448 51.5140
567 108 61.5883
708 1566 74.1464
1105 3503 56.9248
1443 1040 27.3610
3996 4941 34.3583
4959 764 72.5654
292 1733 71.7652
721 97 27.1200
3577 1857 54.3044
783 4635 55.0487
2344 4327 51.8783
336 1904 78.4728
4027 1009 18.3834
170 706 92.6623
4608 1943 41.7105
2456 1352 67.6061
762 4712 48.5896
1683 59 81.6644
4742 3550 51.2146
3465 2896 43.0041
999 3178 13.5579
2585 2421 69.4964
3709 4399 13.5845
175 1149 59.2946
2744 49 24.7539
4131 1193 25.3610
3793 1054 87.5338
708 851 55.9337
4895 3413 10.4115
1943 1249 33.3926
4810 4397 60.5531
4327 4949 69.0969
4895 2056 3.7307
2676 1382 82.3973
3090 2031 25.6975
1128 4990 59.3179
2031 256 28.5267
4351 1452 99.6698
1054 4670 38.4924
1983 2398 88.9878
2212 729 12.6992
653 4573 75.2933
4115 42 6.7435
640 4248 4.5709
179 3686 33.8495
3502 682 82.3510
999 1968 33.7875
1382 183 2.0681
4690 616 76.3267
1442 1311 82.4532
170 497 8.2939
1193 2739 38.5950
1983 3438 89.1694
4082 1015 8.2997
616 1367 22.8008
4986 2342 2.5724
3221 4784 54.2212
327 894 40.6203
4167 2230 93.9785
4640 1981 20.4067
4941 1478 59.4577
2816 3671 96.8920
4635 753 72.3040
3615 4773 34.5805
3195 4740 4.3967
2212 4813 29.3030
709 4495 4.8567
4923 3117 77.9204
3178 2087 78.9925
820 1344 9.6615
4606 942 10.7745
4812 3659 17.8692
4712 3463 89.0086
4433 323 37.8890
1442 4415 11.2859
327 2913 30.4508
183 993 20.8558
2463 1577 24.6897
2230 3296 56.8846
1580 4537 96.9727
1904 1694 57.4080
2767 1517 80.8859
2896 2979 70.2293
2212 3842 39.9082
292 1765 34.1314
4690 1180 17.8083
2606 2499 81.5440
1685 1783 61.3855
3390 3630 56.5443
4612 4456 52.0453
2622 1767 79.0263
4742 4165 22.7503
753 1142 68.9397
4477 3061 91.0641
2031 383 26.4279
2943 2245 92.5256
824 2737 67.8579
3642 3559 49.5624
3447 1801 70.5397
2319 3752 98.2177
4594 1161 33.5272
1832 1976 31.6476
1832 3945 59.9776
2606 2213 44.6682
1517 4181 17.0197
4522 4683 3.8170
1762 496 22.0080
3548 2760 48.4095
967 1672 90.9207
3846 629 72.1767
1519 3374 53.6921
1810 234 56.3471
4895 232 89.7191
3137 1245 35.5864
4537 2678 46.1881
4181 1636 89.2749
3090 4642 90.7603
3266 1870 26.0639
2535 727 71.2410
764 3065 63.6196
2366 3229 19.2338
4570 4692 96.3147
4986 1501 93.6772
3390 826 17.9991
2212 2770 96.2146
3503 286 12.3306
1066 4862 41.5955
2366 981 24.1886
851 1224 68.6356
2107 940 57.8838
255 2232 61.5787
2676 3047 44.0754
1976 1956 36.1402
3654 1481 23.6242
61 3181 60.6714
1832 829 78.5712
179 3011 31.3787
3709 6 10.9338
4810 2472 16.5201
3065 591 1.3106
2463 2818 10.8971
3374 4558 86.4404
2154 3013 49.8096
1325 972 35.0717
1968 3887 62.3329
327 1101 43.8268
1101 1370 80.8993
3367 4822 94.3939
2767 544 8.3757
3374 4656 86.3400
4990 3318 12.8562
3278 4440 74.9124
1478 3428 13.1859
3146 1571 28.0161
3164 4278 20.3249
3642 3452 96.3655
3797 4929 70.9402
1566 3958 3.0270
2956 4000 2.1287
2379 2996 86.4880
780 4171 73.4660
4044 1877 96.7237
256 4888 23.2168
4569 615 88.9520
4990 4355 50.6026
709 1172 45.4630
3502 4856 64.6473
4143 864 97.7096
3013 2842 69.9064
1313 1082 70.8555
3297 4815 83.0163
4812 1121 70.3747
2379 103 39.2565
3642 2204 53.7843
3117 1308 44.6095
497 2170 83.0330
615 127 4.0149
3958 884 71.1222
3798 4663 54.8765
4951 299 22.4617
4951 365 51.7843
1566 417 9.6896
803 3646 41.8133
3502 3134 42.8774
2522 2134 45.8701
1685 2640 74.1458
4477 3521 56.2081
1507 2695 82.9441
1577 519 71.3224
2592 3207 7.7736
1767 1230 34.1519
1943 809 27.7390
3846 4357 25.1472
1464 4873 9.3154
640 631 56.0416
3143 4677 71.7922
3013 4795 51.3023
1172 4578 50.8323
3982 3213 28.9643
3884 2924 58.2697
4020 1844 45.6047
1519 1646 44.9430
2816 1267 8.9227
4570 623 39.2085
4920 768 44.0953
4656 2096 2.3404
246 1746 54.3616
3266 3873 40.9405
1983 3209 70.8881
1443 2646 78.9992
2760 2335 91.8530
2682 4232 69.6306
3386 1977 11.4485
1519 2207 84.9597
3213 3453 26.1168
4750 3723 11.3467
2056 4362 32.6340
1577 4906 73.3041
2645 2635 35.7352
4115 4322 29.7854
3094 1692 77.1004
3884 1039 40.2866
3181 2004 84.9582
4024 2701 47.1878
4374 3103 58.8015
786 1512 61.4996
2134 214 24.4622
2956 1410 8.8647
2213 3192 69.3430
