5000 7499
3067 465 45.2505
465 3608 62.4778
3067 4856 32.8464
3608 3012 3.0239
3608 4979 88.0842
4979 3840 29.2440
3840 1567 43.7327
3012 1407 80.6887
3840 1157 76.9824
1157 97 39.0385
3012 683 19.2431
1407 1504 41.4887
1407 4223 1.5381
1504 66 19.4184
465 1488 85.9502
97 1285 20.9723
1488 1644 93.7778
4856 3356 30.6475
3356 2291 41.6121
66 1795 66.2299
1407 676 74.8452
3840 2639 71.7826
1504 689 57.8674
66 3742 60.3548
3012 4093 18.1245
4093 2425 42.8187
1488 3894 97.7135
689 830 69.6605
3012 2349 94.6672
3840 4662 63.1244
830 2296 5.5432
2425 3651 54.4297
3608 2824 68.1675
2425 767 18.0509
689 4549 21.0275
2296 1577 9.7583
1567 874 3.5426
830 4416 68.3872
1157 1583 53.9686
4093 1706 46.7107
3067 3657 75.4499
3067 3471 90.2591
97 285 14.3921
676 4031 18.6976
4662 3648 74.9850
830 3127 67.4919
3471 3889 3.1981
3894 821 97.5725
683 1217 99.3696
683 1602 13.3782
2349 4677 54.8409
1795 2193 5.5246
3742 439 98.1391
3127 3769 82.5540
3657 605 24.2615
3769 325 69.5251
3067 1864 33.6997
1864 1499 5.3169
874 3203 90.1798
1864 2992 29.1589
683 2655 66.7433
1488 3888 75.0178
4856 1038 11.9045
3356 1925 87.8476
683 646 36.3524
3648 4481 2.0359
605 1075 85.5568
1567 4491 6.2864
2824 2100 90.8166
465 2195 7.2621
767 690 21.4456
1583 1490 92.8477
1075 1900 19.4774
2296 4302 22.0120
2425 692 51.9222
66 4768 65.0192
4979 3514 13.6115
692 4456 26.6643
325 3670 24.5765
4979 2406 28.7995
4677 4828 58.5370
2406 4721 7.2954
4416 313 19.0462
4768 931 55.6098
690 4151 94.9672
3651 24 15.6697
4481 2551 50.5846
1864 2982 4.2773
1407 2780 93.7487
1499 4630 31.8218
2291 837 70.8808
1407 391 95.2377
3514 2376 36.4818
97 3941 69.1238
2195 4887 65.3875
24 4995 32.2200
2349 3891 88.4720
2195 1360 75.0913
2100 4673 33.8488
2425 447 24.9536
4031 4237 76.4191
97 1052 64.5919
690 3823 74.8137
1038 3604 32.1408
830 838 31.6468
97 3620 62.2129
4237 4917 31.3444
1795 3500 52.6967
439 1512 50.5951
3356 4959 52.5509
1644 258 87.8541
4456 3094 37.7211
4151 909 29.2920
4673 2347 95.1018
4237 15 70.5657
605 2866 49.9129
4302 1620 87.3305
3604 2348 71.7644
2193 3139 51.3769
2195 485 73.5129
676 2856 23.2435
2347 2126 19.1097
1567 754 37.6386
4031 4674 87.5481
3203 1763 76.8081
3894 1286 53.0420
24 507 50.8095
3769 4754 34.1174
4416 2496 84.6550
1052 3263 61.3113
285 1961 12.0849
3620 4125 33.6034
2406 2416 39.1754
1567 2635 43.2891
2406 33 67.7862
3094 2408 34.7807
3139 1510 15.9403
2635 1459 49.1971
3742 864 3.6350
3094 319 68.4912
676 4025 69.3921
97 2852 75.8908
830 4018 83.1625
2852 1159 12.6323
2856 101 65.4591
689 3126 3.0285
1925 2318 54.5355
4979 557 89.3541
3203 687 28.0969
313 4344 16.0032
3608 3474 54.0161
2496 1007 80.8113
4856 4406 78.1498
4828 4503 91.4762
2100 2899 45.5834
2348 4827 21.9778
3648 2103 2.6200
507 2860 22.5597
4406 3948 54.8418
1583 2569 50.0283
325 4267 3.6494
285 2094 30.3247
2348 2903 73.3143
4031 2566 93.5308
1864 4226 86.8878
4406 1764 67.6128
1488 1865 39.7815
24 1022 20.7491
1961 320 44.6466
821 786 27.6296
15 3160 70.3094
3648 3178 65.2004
931 4781 83.2283
4677 1394 62.2037
4917 4715 43.1037
931 3758 35.4843
4549 4880 84.4041
4125 3054 67.3004
3160 2972 21.2790
1602 80 63.1535
4674 2574 74.7652
4827 3204 77.3489
4226 2386 79.7115
2126 3345 46.7785
33 4961 59.0354
4721 746 78.8881
646 2859 37.1362
1512 1782 71.5399
2824 525 52.0860
1407 897 68.7287
2982 156 86.3928
4856 4559 62.2269
97 1000 7.2376
897 2632 62.7798
754 4320 96.0407
80 2733 96.8240
786 3919 41.9498
1459 2940 5.7204
4961 765 84.4598
3160 684 54.2641
3769 2838 46.9982
1052 4999 54.6528
1764 359 29.4664
359 2413 22.7375
2126 4766 35.7191
754 475 14.8192
909 4578 58.8906
4917 4689 6.8729
2126 569 33.4225
15 383 13.7862
2972 371 56.6638
4344 4868 57.7761
3126 2839 70.2596
3126 2310 24.4799
931 394 50.3363
4456 1705 51.2113
4674 1990 66.2874
2866 1983 47.6644
2655 2205 84.8883
1577 4488 64.7605
2940 370 41.8067
1512 1586 7.4884
3067 3363 76.7509
1795 985 39.4675
4237 906 39.2259
156 1325 37.7185
3758 357 96.9577
1602 2385 74.2397
3126 3201 68.6500
2318 4597 55.8972
3054 2526 42.6593
1157 4227 55.5376
765 3836 41.4411
4488 4441 99.3056
4868 4461 85.8374
1764 3846 34.8323
1583 1480 86.0743
4031 154 5.3272
4125 3768 1.8769
874 2092 83.1863
874 3099 75.1241
2195 4858 17.3668
3758 4783 36.7086
4856 296 35.1806
2386 2211 98.4032
1586 3947 19.9089
3919 3260 57.3192
1583 2491 43.8286
1900 3838 12.1106
2824 4915 70.3596
4768 81 98.9531
2416 1207 55.6002
1567 2146 73.5059
684 782 17.6942
2310 1051 92.3278
4320 3949 41.0588
3204 2584 61.3674
2860 1023 69.2394
4721 942 52.5900
4549 977 42.4101
4578 4301 59.3398
2195 291 65.4153
3889 1955 71.1512
2639 3805 23.4024
746 4732 86.3624
2347 885 86.2953
3891 446 29.9099
3054 1690 9.8170
3126 4514 47.5978
2574 364 11.8646
3201 4185 99.9890
1407 216 80.2810
3500 2255 16.8905
370 3717 52.1908
1644 3165 43.9306
4441 774 62.9483
3099 3537 1.3123
258 1185 17.6707
4301 2497 52.6281
3356 3222 10.6334
2497 1647 20.0804
4961 1939 86.3937
2639 2355 40.8290
4185 4480 52.7375
838 4520 24.2752
313 3326 14.3461
4858 2050 78.2354
1075 4594 29.8870
4917 4698 37.4274
1159 4431 45.3107
837 3896 6.2327
3363 3923 68.3805
2296 4543 63.0968
2972 3603 48.3580
3160 4079 40.2480
3094 4435 28.2113
1480 2717 37.3389
1602 3622 64.5805
1023 962 45.9361
3949 4786 14.8033
2574 2210 57.9630
2385 2898 90.8496
2859 3170 43.3117
4677 2630 70.2851
2566 3149 13.9921
