500 8557
0 27 131.6852
0 46 136.8483
0 84 79.0322
0 113 93.7376
0 133 111.3539
0 140 62.8708
0 150 105.0787
0 199 103.8571
0 217 82.1672
0 222 73.0533
0 228 18.1094
0 236 117.5599
0 293 35.3858
0 299 92.8913
0 409 26.2362
0 413 77.5002
0 427 11.3195
0 429 128.4330
0 461 54.6495
0 477 143.3814
1 9 138.2098
1 33 65.7860
1 39 30.7347
1 43 10.8305
1 132 154.3339
1 218 157.0995
1 244 96.4137
1 306 46.1494
1 310 53.7593
1 337 18.4613
1 346 153.7834
1 369 112.2754
1 373 99.4255
1 387 31.2728
1 417 139.6386
1 425 81.8731
1 428 141.6692
1 456 98.4902
1 460 148.3430
1 464 103.2304
1 479 58.2064
1 481 124.5988
1 488 82.9088
2 9 123.6254
2 33 116.6566
2 40 116.9406
2 41 118.0834
2 61 44.2575
2 87 93.1808
2 90 66.9931
2 111 147.7551
2 132 40.1447
2 179 25.5544
2 205 14.1898
2 231 5.9799
2 252 28.2929
2 254 144.0075
2 273 31.7910
2 306 156.8839
2 310 122.1771
2 317 16.7989
2 343 91.5936
2 364 125.7143
2 387 146.2131
2 419 32.5932
2 425 105.8775
2 428 119.1087
2 438 64.0423
2 446 105.5714
2 456 78.0845
2 481 134.7930
2 485 140.7263
3 6 116.0866
3 11 119.5557
3 16 114.9478
3 20 80.9277
3 22 61.2988
3 46 135.8467
3 89 108.6610
3 94 82.4259
3 107 101.1294
3 109 76.5122
3 124 32.5000
3 144 105.2792
3 159 58.9698
3 164 132.3719
3 180 137.0430
3 182 30.7745
3 184 46.2797
3 202 11.4968
3 204 72.5872
3 210 85.3116
3 234 102.6912
3 253 57.7062
3 272 100.8771
3 282 57.3328
3 285 52.5744
3 296 106.1002
3 307 154.8148
3 347 67.4632
3 356 121.3285
3 361 74.5131
3 388 114.8159
3 448 91.6956
3 457 82.4506
3 458 89.8339
3 480 39.9544
3 499 55.3770
4 26 136.4038
4 57 141.4215
4 64 79.1719
4 80 95.1568
4 125 152.5980
4 127 135.0608
4 158 155.1326
4 165 83.2564
4 200 137.1170
4 221 136.7364
4 246 24.3606
4 256 146.9298
4 330 150.3052
4 340 87.2659
4 379 134.0268
4 398 128.0615
4 424 19.0275
4 431 68.4707
4 434 152.0511
4 449 82.1650
4 451 112.0180
4 476 42.0859
4 486 82.3415
4 496 133.2296
5 6 138.4694
5 10 117.5627
5 12 139.8792
5 44 108.8314
5 48 78.9328
5 58 118.0699
5 65 113.2760
5 86 86.5991
5 102 84.4315
5 135 134.7357
5 136 46.5972
5 138 132.2447
5 142 128.1078
5 143 119.7791
5 147 99.9241
5 152 113.5249
5 154 111.2487
5 164 145.1041
5 168 139.3413
5 176 150.4382
5 210 156.2110
5 262 150.9275
5 268 156.9831
5 307 127.9775
5 308 44.6115
5 312 145.1027
5 318 142.7873
5 319 124.3578
5 341 154.5080
5 345 146.4075
5 359 129.2604
5 382 74.3459
5 410 92.9089
5 414 149.5251
5 437 105.6520
5 450 92.4770
5 465 146.9951
5 482 138.8845
5 484 143.8492
6 12 153.6683
6 20 35.1758
6 36 147.6434
6 65 54.3316
6 89 30.9029
6 107 111.9836
6 124 147.9252
6 130 151.8658
6 135 119.5958
6 146 106.0720
6 152 132.7977
6 164 109.7672
6 182 128.4686
6 202 105.6701
6 210 40.4161
6 234 21.8926
6 253 59.7717
6 282 62.5031
6 285 98.8141
6 296 90.3523
6 307 117.7952
6 318 148.4043
6 341 90.6167
6 347 72.8275
6 356 137.7047
6 359 77.8414
6 382 82.3415
6 388 154.2805
6 426 130.9389
6 448 24.5088
6 457 46.4485
6 458 32.8417
6 480 103.9389
6 495 107.6385
6 499 131.3492
