1000 1999
787 554 5772.8501
787 540 4363.5854
787 936 5242.1167
936 100 6800.9546
540 869 4361.8172
100 53 3725.6360
787 721 9593.3848
787 832 5185.3236
100 803 4336.0563
787 854 686.1251
53 318 895.8871
540 938 2881.9546
854 285 241.7752
854 695 4825.3034
787 726 3324.6460
936 827 4352.7739
726 270 8535.8999
832 293 67.3318
285 646 1151.1711
293 904 3724.4086
270 940 6826.5897
938 521 6822.2480
695 444 5340.9794
646 114 3196.1570
318 586 6153.6227
869 992 9146.9769
940 872 8285.7993
53 287 1374.1213
992 357 4976.1590
586 516 276.5853
285 603 3798.1748
603 610 2580.3155
554 933 9552.8661
904 775 1942.6127
444 269 5751.8244
285 462 2321.6771
603 382 9804.7100
992 856 3599.7284
726 544 9068.6871
787 430 2444.7509
721 60 2129.2611
521 700 6377.4112
872 801 5873.6202
646 959 4664.9709
462 828 9137.6416
53 999 7150.1149
700 505 5376.9912
357 193 1086.2613
269 212 1423.6399
212 831 9544.1138
700 21 1809.5292
357 149 2990.4425
992 18 1988.4363
721 973 4380.6588
505 26 6118.5785
357 875 1116.3548
721 453 7368.4990
787 997 2759.2318
293 37 476.0559
357 740 8035.5015
803 812 8172.5317
828 315 4791.3322
936 259 4711.2861
832 427 4467.5275
700 346 7717.8470
740 93 1512.3900
521 628 1213.0460
93 958 4387.0097
287 658 6151.7897
610 171 5226.9040
430 72 8555.9044
149 119 9251.1847
658 630 6674.1316
100 148 6041.4980
646 750 7496.8469
936 102 426.2632
958 748 9706.1590
603 196 9591.5533
628 150 684.6473
72 629 5469.2089
603 309 9955.3010
346 587 3822.6134
721 744 3040.3593
72 942 748.1315
212 276 6503.3763
750 108 1330.3518
453 121 8082.0473
521 583 2804.0252
102 394 7134.8799
544 779 1847.6718
583 180 7123.2536
875 843 6378.3247
938 277 9511.2545
180 588 9602.9193
856 219 5886.6572
114 311 2478.6292
108 202 2301.4881
150 652 5251.7165
259 73 5095.4982
740 205 1577.6203
812 477 5621.3243
750 552 4133.3512
748 795 4909.7594
629 978 3388.1716
315 874 5167.3115
193 400 3962.9979
205 42 8562.5529
875 665 9081.6947
603 846 5117.6056
108 98 3271.4971
812 386 5834.5034
721 715 952.7749
552 946 7757.9087
277 595 1302.2811
357 622 4881.2358
462 888 1853.1210
119 396 5303.2918
93 333 6857.8943
93 82 398.2993
715 479 8449.8587
148 816 706.6453
193 267 6432.1439
816 558 6585.6728
93 570 6491.6360
795 706 9145.6042
73 347 137.1067
803 833 9540.9327
287 27 7990.2747
427 921 5844.5675
646 326 9844.9430
