Tamanho_V;Nome_Arquivo;Algoritmo;Peso_AGM;Media_Tempo_Leitura_s;Media_Tempo_Algoritmo_s;Desvio_Padrao_Algoritmo_s
100;denso_V100.txt;Kruskal;439.8534;0.001500;0.000300;0.000483
1000;denso_V1000.txt;Kruskal;4034.0490;0.022600;0.004500;0.002273
10000;denso_V10000.txt;Kruskal;38739.7383;0.250700;0.072400;0.078643
500;denso_V500.txt;Kruskal;2006.8324;0.012700;0.001600;0.000699
5000;denso_V5000.txt;Kruskal;18877.1044;0.115400;0.022000;0.002108
100;esparso_V100.txt;Kruskal;3528.2430;0.000100;0.000000;0.000000
1000;esparso_V1000.txt;Kruskal;35851.9030;0.001100;0.000000;0.000000
10000;esparso_V10000.txt;Kruskal;371101.1401;0.014600;0.002600;0.000966
500;esparso_V500.txt;Kruskal;18066.3059;0.001100;0.000000;0.000000
5000;esparso_V5000.txt;Kruskal;184261.6557;0.011600;0.001300;0.000483
100;geometrico_V100.txt;Kruskal;7197.4430;0.001000;0.000100;0.000316
1000;geometrico_V1000.txt;Kruskal;23581.2602;0.014600;0.002500;0.000707
10000;geometrico_V10000.txt;Kruskal;74100.5878;0.298900;0.060600;0.003921
500;geometrico_V500.txt;Kruskal;14371.5905;0.008600;0.001200;0.000422
5000;geometrico_V5000.txt;Kruskal;52697.8857;0.105200;0.019200;0.001687
100;pesos_aleatorios_V100.txt;Kruskal;307281.7474;0.000300;0.000000;0.000000
1000;pesos_aleatorios_V1000.txt;Kruskal;2864177.9294;0.002000;0.000400;0.000516
10000;pesos_aleatorios_V10000.txt;Kruskal;28339453.3871;0.028600;0.005300;0.001494
500;pesos_aleatorios_V500.txt;Kruskal;1367743.4724;0.001200;0.000000;0.000000
5000;pesos_aleatorios_V5000.txt;Kruskal;14097897.3447;0.010900;0.002200;0.000789
