100 1711
78 54 53.2120
54 90 49.9133
90 79 79.5528
79 51 70.5599
79 94 24.8734
90 68 89.0343
94 67 30.4971
54 44 60.1622
54 74 76.5543
51 57 77.0320
79 20 50.0525
57 47 43.3310
44 96 40.1480
44 66 96.7444
96 48 49.2218
78 37 99.4851
47 61 65.2555
37 58 36.7695
66 63 7.7469
96 42 36.3134
63 98 21.4498
78 15 22.6777
51 19 58.0163
51 7 73.1002
96 21 18.0352
67 93 43.7164
68 39 40.6146
54 9 54.8535
37 89 28.9983
51 26 54.4432
47 53 95.3515
63 52 94.1377
20 41 96.6272
90 60 7.2767
66 95 17.8794
66 82 96.9502
15 3 62.2011
61 46 66.8796
60 99 56.2805
60 56 99.6137
66 71 61.2012
21 62 89.3360
26 16 49.4005
9 80 75.1704
63 18 47.7395
95 69 80.5118
42 72 22.4725
90 85 16.4404
68 31 36.6126
7 86 25.9345
60 13 9.2800
74 36 49.9296
44 76 71.8991
60 22 56.0837
47 70 54.1085
63 91 57.5323
69 6 19.3478
37 65 96.1184
61 38 94.8280
98 97 59.4879
21 23 11.6444
78 32 78.2339
21 81 63.6711
95 8 60.6299
44 73 33.1523
51 45 97.0791
32 64 45.5478
73 40 75.0662
16 25 70.6683
22 12 66.1968
72 30 87.2380
91 87 77.8720
39 4 86.2079
97 88 97.7740
22 49 47.3504
48 28 59.6044
69 84 91.1195
25 77 33.1798
73 10 48.2749
87 59 81.1617
72 17 29.4645
40 24 43.8439
71 5 67.5432
60 29 70.2510
63 35 58.4798
67 43 23.1237
19 83 38.7314
49 14 42.9734
24 50 24.9130
58 27 5.2372
31 2 70.0833
94 34 66.2377
50 33 64.7224
37 1 6.1688
74 55 83.8586
49 75 97.4731
69 11 99.4627
20 92 14.1508
85 0 25.0852
56 74 93.0836
29 69 1.3391
20 15 34.7700
34 56 26.7995
25 5 83.6184
13 22 32.4020
12 94 44.2175
15 53 54.2408
32 44 78.8104
99 26 41.9481
79 97 60.0101
14 57 45.7789
70 81 13.0691
89 95 93.7342
58 92 72.3993
8 70 99.0250
8 50 38.6013
36 44 43.7565
89 13 30.1159
86 21 58.2916
31 35 21.6657
39 21 18.3521
2 43 3.6868
31 78 28.5623
93 7 45.0788
41 56 62.1332
57 72 81.7467
36 87 53.8779
88 92 66.9934
93 18 53.4067
11 18 10.9327
82 72 22.1423
1 34 62.1009
52 2 34.6633
4 56 95.5759
41 13 61.6726
36 56 55.8923
66 98 63.5583
12 34 83.5350
20 10 84.5292
46 54 25.1552
42 86 76.5015
12 56 53.7306
93 92 36.7931
61 3 72.7662
16 18 44.5415
46 83 98.9362
90 46 89.1286
16 64 42.0279
83 20 46.1145
42 10 82.1312
0 25 43.9096
60 52 75.2681
69 56 82.9657
12 60 14.1195
32 48 21.0207
46 8 20.2538
36 42 99.6116
