10000 14999
4203 1966 83.2274
4203 4002 77.5215
4203 894 89.6298
1966 4437 80.6623
1966 2063 34.3403
4203 9575 59.9359
4203 6501 56.8930
4437 6246 38.7160
4002 7395 57.4728
4437 9265 2.9361
4203 148 58.3321
2063 7253 65.2020
2063 1778 61.2094
4203 7702 42.3705
6501 874 43.2027
9575 7203 11.3763
2063 5367 88.3784
5367 371 4.7848
6246 6952 24.6108
7395 7009 9.0272
1966 2773 12.9412
1778 4567 91.6227
5367 6374 22.6490
894 3161 66.7669
7395 8857 35.2726
4437 4282 11.6782
3161 6909 24.8715
8857 469 73.4650
6952 3101 29.5291
4002 2745 6.7595
7253 3532 53.3992
9575 7557 3.3193
6501 6448 8.5240
6952 6263 1.2285
4282 7921 55.5902
3101 5945 84.9508
874 7180 48.2076
7921 6599 8.0320
6909 9500 68.9528
5367 6084 4.0020
469 8180 18.4082
5367 3709 26.8866
7009 7280 3.7034
7280 1960 18.1405
148 8880 76.8160
2773 565 43.4685
565 171 47.8893
9265 9564 71.0828
469 6986 29.7946
8180 6265 39.2353
6599 2377 76.2984
6448 7440 30.9360
3161 572 1.2235
469 2371 97.9641
2773 9466 41.3906
7203 4886 46.3200
7702 3345 5.7268
2745 3397 94.5020
2063 5941 49.3717
7702 6032 57.6150
6084 1540 42.6959
2371 8366 48.4778
7395 3663 96.5806
7253 7019 95.2674
4567 5472 8.6806
8180 5010 94.6188
894 5440 92.6024
572 3232 15.4507
7557 9980 48.0291
1960 9922 69.6164
6263 1073 36.2331
4002 9802 97.8061
1966 7995 2.3092
3532 1065 80.8852
5941 1019 21.3984
8880 3146 82.9499
4002 4006 46.7655
8180 5759 38.1041
3397 2499 26.8791
2745 1881 34.5069
2773 6167 3.9105
2745 5506 77.8901
6032 4342 21.2382
9922 4368 19.3059
4886 3223 35.8676
7995 5305 81.2179
6032 1449 32.8429
6909 8059 93.5086
9466 4872 6.6347
5367 9395 56.1161
6032 6541 9.0112
4368 1734 99.4083
7180 1304 36.0525
7280 3674 14.3976
7440 8792 36.6502
6263 4648 41.4226
4886 7690 45.5799
8880 8915 67.9352
7019 9768 70.2946
4886 6423 11.0127
8880 1068 56.0081
3532 3405 17.1350
9564 4959 81.2960
7440 1305 54.0165
4437 8582 37.6282
7019 7193 40.3747
7690 5183 23.1828
6952 8881 74.2435
6541 9697 39.6094
2745 5043 62.9943
6167 8790 50.6697
6032 9856 32.3455
2499 188 72.4325
6032 3635 39.4281
2773 4930 33.5129
1019 1320 77.6362
3397 1265 1.1389
3146 7293 57.2028
7193 4213 48.4218
9768 3876 74.2121
7921 217 10.7408
3345 6272 92.9863
7009 4380 45.8959
3397 3342 40.0023
1320 9834 81.2519
7557 5545 84.7888
188 9115 32.5463
6501 8389 87.9592
6167 697 20.6517
6909 1377 14.8928
4437 8182 33.7685
8881 7062 32.8696
6246 7736 36.9996
6541 3434 5.2142
4282 1113 79.9464
3345 2669 96.6291
6501 2262 71.0939
4203 4066 46.1711
1265 3887 34.1883
8182 4461 19.5139
2063 3281 84.3930
3161 9273 38.7361
9273 6439 48.1414
6032 6793 29.0710
4886 5827 88.0530
697 8803 22.2917
9856 4849 35.7686
9273 1180 41.1263
4930 7008 18.2657
4930 5253 92.8573
3397 6977 56.1280
188 8746 9.2250
9273 9602 45.4857
7293 4340 90.7476
7293 1318 7.7342
1377 2833 15.5678
7995 1812 29.9501
3405 6293 29.8404
8915 7998 82.6723
2063 3794 12.1855
1113 4997 81.0109
1180 5908 84.8606
8857 8626 47.0067
6167 3615 66.7564
572 1325 2.2167
9466 6600 27.9723
1325 9532 58.8565
1265 3179 34.1089
4886 4534 31.0304
7921 6339 10.1459
8792 5151 92.6684
4282 8341 42.7790
1068 9437 1.5399
9856 5861 12.8425
5472 6637 31.2582
9115 6995 27.9459
9697 5779 93.4045
2371 6210 79.3528
7253 2019 10.8751
9115 190 36.3056
4368 8628 92.7702
5506 8640 58.2247
3397 3253 92.3913
3232 2390 19.8512
7995 8081 61.9700
4282 1013 34.6330
9273 9036 30.2057
8881 2580 66.9464
3794 9230 83.4674
9466 319 59.6630
6210 9274 94.8045
4886 4682 65.4077
5945 8540 12.6847
171 3861 94.7467
6167 856 40.1554
4342 7357 30.5822
4002 8014 72.9974
2063 6979 13.5327
4567 7337 7.8750
1305 2731 78.0799
6167 9185 60.0649
4997 7725 68.2871
7440 406 21.0921
1304 4705 62.0348
6952 3769 94.2837
572 311 94.5700
9274 2783 40.6307
565 6035 39.2982
8582 8592 15.8538
5506 4917 12.3951
4872 1368 15.3744
171 9025 64.0469
2063 9388 58.8273
7009 3703 87.1180
5253 4465 18.1823
3342 5987 84.6337
1068 4989 41.4454
8366 918 94.1233
6374 5899 40.7495
9185 7424 48.0574
2783 8684 53.2043
7395 8479 2.8522
2371 2367 42.1622
5899 2534 98.5170
3887 4037 5.9108
3709 1947 39.3308
8792 1151 36.6754
8592 6696 87.4918
9437 402 40.5028
4849 2432 86.6210
7995 5356 28.9649
4705 6072 9.2964
9230 3081 45.1298
6696 4765 46.1136
894 1530 29.0889
3887 9629 3.4568
7203 25 80.1114
6952 5231 7.5534
6793 755 92.1103
1073 9262 53.2517
5506 667 94.3800
371 701 22.7700
1734 2281 82.7611
3405 7160 98.2070
5440 1821 15.1955
4989 9953 15.4656
8746 9029 78.9844
6637 8597 79.3726
4213 205 95.8867
7995 8254 25.4276
8389 3868 80.9055
4066 4393 44.7557
8684 2778 72.7626
2371 6425 18.3923
5151 2059 79.5044
9437 9793 99.0217
9115 6519 90.1254
2432 956 23.4028
6979 3501 37.1536
6263 5858 41.8911
5987 7437 96.2347
6265 8418 24.3709
2783 6460 99.9394
5861 6556 11.9084
3861 969 73.4777
3434 3895 20.9606
9029 3980 71.3324
4886 2385 57.7347
7193 567 39.1382
6439 1690 95.3436
406 1967 31.7249
4203 6863 94.8630
2262 6044 7.8839
7437 7860 14.0453
7253 2581 15.4737
894 4122 33.0842
4002 982 17.2519
6979 2639 20.0302
2639 7249 37.7652
6084 1754 48.0511
7860 1348 35.1767
8790 4822 57.2365
8592 740 3.9250
697 5678 67.8353
8640 3660 59.9078
3253 2943 80.4241
1320 9582 45.2634
1019 4637 47.8441
2367 9278 22.8739
7019 6006 32.1080
3769 6474 49.2971
217 2301 78.4513
5827 591 37.2080
1305 2842 32.8637
3663 5370 60.8529
3876 8317 34.7069
1305 2080 43.5253
8182 6307 18.8737
1377 8936 20.5054
9265 8514 66.0101
4930 2391 73.0146
2580 7267 95.1291
8857 390 23.8651
1348 9085 78.1337
7440 1633 51.6443
8640 4772 87.6944
856 4581 55.8407
3146 7884 74.4714
2783 857 44.6576
4368 4370 53.3814
982 2609 18.8391
5440 139 5.5946
4368 6688 89.2417
1065 124 40.4578
4637 941 25.7429
217 2240 20.1366
8792 3613 72.0190
3980 4966 66.6092
7009 3766 60.4769
5545 9681 80.7062
3253 1159 60.5581
6979 6643 12.8360
6541 3407 38.3982
1966 1140 5.3104
8418 7841 26.1744
3407 5149 46.0342
856 1434 93.2687
1966 6492 56.1552
2778 84 46.0106
5440 5644 64.2810
371 6998 22.8946
1318 5208 76.4973
4342 5817 7.7628
1065 574 4.3370
3660 2338 67.3491
4461 7086 50.5670
9602 5546 79.6141
311 7618 1.0370
5545 7735 57.3510
7062 2326 84.1889
6460 315 77.5559
7735 5351 29.9341
9582 1355 69.0302
9834 2334 33.6024
1151 679 85.6744
982 8454 7.4228
1967 1880 38.3514
7009 4687 35.5358
5858 8024 61.2019
969 4903 31.2173
1540 3178 75.0156
4213 6855 81.8448
6425 8508 83.8870
8059 3643 92.2624
4203 6280 70.3097
1304 7550 13.1947
2745 1632 80.7396
9262 4896 88.9504
7725 1798 55.1684
311 8211 44.0375
8746 3818 60.2861
3161 6178 70.8719
3501 952 46.6792
1778 7806 99.7443
7736 6717 4.9704
6492 861 9.0226
8915 3959 18.2441
4886 9964 83.2390
8936 307 40.2271
2534 2941 15.3408
188 8903 8.0038
1812 6315 7.0876
7618 8787 34.1323
2301 2836 88.8393
4006 9411 26.8517
84 6229 48.4417
8366 6550 11.2628
6272 4816 66.9719
7253 8190 62.6422
2432 3127 83.7815
5183 8474 70.4873
6550 1136 41.8698
572 9290 87.3084
8540 9534 64.1951
9980 4191 65.3214
9115 6931 27.8067
9262 5462 56.0035
6167 5855 74.0489
956 7417 60.8690
9602 4711 42.6388
4648 2683 66.7427
4917 1843 10.5666
190 8064 23.8954
3407 7665 8.4251
4393 7542 96.8981
9582 4263 46.6713
8024 2416 5.2445
4930 1696 87.1442
6246 2608 45.1717
4340 7979 47.5215
1065 3023 58.3488
5010 4189 40.0892
3660 9930 23.6633
5367 4977 25.9945
6315 9726 78.2884
9273 3916 26.3514
4772 7306 76.7488
4886 2372 99.3321
1304 6889 30.8213
8640 1885 25.4420
8592 2928 49.6838
4282 9043 11.3488
8857 3495 11.6948
8903 4117 34.8866
3635 6771 51.1498
6263 466 29.8506
701 6774 25.7017
2778 4485 12.6598
9185 2654 41.4640
171 5768 53.8813
171 4234 58.7745
952 1681 62.2040
8474 3365 97.1732
4342 3298 76.1921
6423 4610 91.1833
8454 5094 56.5152
3613 7783 63.5264
2842 5432 56.4162
7249 5203 8.9187
4368 4211 3.3515
5899 483 81.2611
7417 1204 79.9787
5546 502 75.5807
8790 3966 75.3003
406 3042 68.8737
7702 8943 6.5442
6717 2126 96.0501
5253 8414 39.0568
3959 8751 63.3030
3178 7548 58.5327
6931 9826 47.5737
7395 383 22.1623
956 9561 71.9608
7424 6188 63.8231
2390 1520 96.0436
982 2113 1.0945
3023 4304 37.0031
7690 8503 25.3185
5440 2782 4.8490
9681 5264 20.3858
5827 3110 69.1922
6519 4556 77.0486
7160 5177 44.8267
2019 4059 39.1234
2126 3020 48.6821
8582 2622 49.6040
982 1682 24.7951
565 3487 11.7607
2833 5416 36.4084
9575 9429 34.7943
969 906 15.8739
8943 2728 52.8466
5644 7045 97.5371
2833 3951 95.4857
4370 3080 39.9334
3635 4457 37.2983
2059 5814 90.3741
8014 5891 94.3738
6425 7886 65.5375
7542 9113 47.5709
6374 1370 25.4674
2639 7447 81.0016
8787 6268 35.0178
4234 3859 25.9472
1136 875 94.9566
6246 465 76.1522
5367 7924 25.4897
4705 5495 50.0429
2059 2476 98.8059
2499 4400 4.0799
6210 4967 62.6165
2534 9550 33.9613
3769 8367 31.9617
7357 5638 31.1071
2836 2858 31.4994
2943 183 57.0715
5356 8052 93.5922
8180 855 93.7807
7395 9148 54.2783
3766 3052 65.9461
6995 4609 40.1898
2609 1563 23.3066
3663 729 31.2955
1540 8423 66.0545
2126 7133 97.2449
3703 4983 59.4676
5941 5902 16.5820
3342 9000 43.6738
861 971 76.0551
6696 4332 62.2860
1159 2141 44.4212
1734 759 8.2245
7424 6719 41.3156
9262 8555 2.5046
8751 2971 61.2524
6793 7792 19.9089
5440 930 3.3130
9388 3315 83.8597
574 4076 98.4496
6909 5834 78.8469
956 427 6.5649
2326 5614 59.8519
2391 9769 52.6272
7440 6361 4.6300
3080 7057 35.3415
5440 4812 16.9564
3916 9513 81.6831
7550 5967 93.0469
4400 9212 6.1489
5495 2991 45.4045
1320 267 63.3744
8341 182 79.8270
4370 9631 79.4438
9953 2193 92.1246
3080 2214 57.8268
9550 9952 17.1932
7542 6381 56.9684
2499 1492 84.0607
2943 3512 5.9417
1204 2776 76.9944
8423 5746 5.2061
6889 4877 92.0352
9922 43 52.9387
1159 9548 23.7226
2776 8762 89.8431
7160 9009 58.2203
6167 5956 36.1209
4877 5066 31.0706
4282 8632 27.6359
8684 4988 67.0241
1065 3808 35.9872
9429 9553 66.4863
4989 3410 20.4351
7665 7075 90.3374
4989 3838 42.6848
4581 2663 24.8322
2499 4103 72.8168
8367 1937 14.1807
930 5156 73.1569
4872 6352 94.0878
9437 280 37.4998
574 9991 4.3519
7267 3233 86.7723
2971 3215 72.2315
2391 1505 63.9860
3407 4965 76.7579
982 1908 92.5447
5177 2004 71.2909
1434 168 6.2386
6263 6832 19.4629
5827 326 50.2188
7019 4792 31.4505
8418 2131 21.1845
9582 1121 81.4615
5156 8905 78.9924
8626 7006 49.9340
311 5234 79.6988
2663 8795 48.4477
4076 6788 20.5153
7203 1285 40.7700
315 8464 44.7388
2391 431 80.3513
8389 1356 90.0814
1632 5282 30.8483
3365 9077 74.6671
9532 3949 8.0869
7665 3353 76.5809
5066 2431 9.2368
9437 4634 98.3272
8746 300 30.0402
5779 2923 66.0259
6774 8419 66.1333
5043 958 98.6198
5066 8608 44.4282
1449 8157 97.6294
3794 4552 88.2316
1966 6716 4.3245
1798 261 28.3859
3895 2550 77.6531
6696 7338 9.5871
6032 4352 55.1863
3342 6747 53.5275
7160 1076 11.7479
6977 2092 1.8344
4822 3246 33.6175
3127 1206 1.3989
7618 7477 57.5786
3838 9903 52.8054
7417 6606 75.5153
9273 2813 20.1896
8632 2970 32.6520
3808 2597 96.0729
2608 8130 41.5499
1151 1920 16.9858
7690 3654 61.9367
6035 9951 21.4920
8943 6402 53.8405
8795 4773 53.4974
