100 1192
0 14 107.1393
0 17 201.0515
0 27 247.1196
0 30 222.3358
0 35 182.6604
0 57 264.4100
0 58 226.5690
0 59 292.5350
0 60 261.0606
0 69 143.3459
0 91 291.4684
1 2 42.2360
1 17 274.1237
1 19 221.9017
1 21 183.5953
1 29 286.3136
1 35 275.9537
1 39 71.9295
1 40 203.2852
1 43 281.2733
1 48 105.7382
1 57 234.9014
1 59 222.5037
1 60 198.2808
1 62 137.8718
1 65 135.0300
1 74 210.2543
1 75 103.4803
1 82 147.9584
1 88 97.1643
1 91 215.4366
1 93 249.8304
1 94 116.1228
1 96 98.7911
1 97 119.5860
2 17 276.2264
2 19 235.2583
2 21 210.1173
2 35 266.5301
2 39 104.0069
2 40 241.6945
2 43 301.6918
2 48 112.6200
2 57 245.9593
2 59 238.1783
2 60 188.2021
2 62 96.9608
2 65 175.3270
2 74 194.5130
2 75 106.4848
2 76 287.4461
2 82 190.1046
2 84 300.4472
2 88 72.0805
2 91 188.2224
2 93 263.7977
2 94 157.0934
2 96 57.6305
2 97 161.1941
2 99 296.1114
3 6 296.4679
3 7 57.6075
3 12 118.0273
3 15 241.2060
3 20 122.6749
3 22 165.4167
3 25 211.3558
3 26 39.4496
3 34 80.9681
3 36 251.0379
3 37 141.5739
3 38 241.8742
3 42 242.0508
3 44 285.1022
3 45 193.0667
3 46 201.7815
3 49 95.9985
3 51 229.6181
3 52 277.8763
3 53 172.8937
3 54 291.8341
3 61 167.1153
3 63 267.3875
3 64 269.2414
3 68 120.5726
3 71 136.1759
3 72 67.0927
3 73 148.6997
3 76 235.1808
3 77 221.7853
3 80 232.9657
3 84 243.9809
3 85 295.4615
3 89 217.5625
3 98 132.1364
4 5 301.6028
4 7 262.1271
4 8 222.9027
4 12 255.9137
4 13 111.3711
4 20 258.7212
4 22 248.8866
4 23 214.9415
4 25 250.7899
4 26 281.3987
4 31 159.4307
4 33 112.5596
4 34 289.6667
4 38 271.0884
4 47 85.3527
4 53 192.0661
4 54 101.5769
4 62 264.6096
4 63 76.9973
4 66 46.1422
4 68 204.7881
4 73 243.7814
4 74 276.4079
4 76 194.3025
4 80 286.9308
4 81 42.3113
4 83 167.7975
4 84 138.3609
4 98 237.7555
4 99 165.6960
5 11 217.5613
5 13 238.4397
5 23 112.9301
5 24 177.4958
5 31 143.3191
5 33 270.7973
5 38 247.1032
5 41 244.4444
5 54 223.1603
5 55 167.3988
5 63 265.9779
5 70 200.8126
5 80 265.1852
5 83 135.8178
5 95 140.0232
6 15 248.1672
6 28 219.2505
6 34 289.5960
6 36 172.1556
6 37 199.1446
6 44 11.6584
6 45 118.2563
6 46 139.5728
6 49 200.4883
6 51 290.8795
6 52 202.2704
6 64 27.6338
6 72 287.1856
6 77 80.5878
6 86 175.7660
6 89 117.2717
7 12 99.0548
7 15 295.5531
7 20 88.5104
7 22 128.4001
7 25 173.8153
7 26 19.3788
7 34 82.1915
7 36 278.0496
7 37 171.7966
7 38 223.1329
7 42 265.5092
7 45 248.3727
7 46 238.4880
7 49 147.6110
7 51 228.8485
7 52 299.5125
7 53 121.5114
7 54 241.9722
7 61 212.2983
7 63 214.1039
7 66 273.0461
7 68 63.6241
7 71 179.5285
7 72 115.9584
7 73 109.7393
7 74 292.2822
7 76 186.7178
7 77 268.9891
7 80 218.9336
7 84 189.0751
7 89 257.1117
7 98 89.7922
8 9 165.9114
8 10 97.5848
8 13 176.5737
8 23 285.3682
8 27 248.3001
8 30 223.4957
8 31 300.6213
8 33 144.3757
8 41 236.3325
8 47 146.1054
8 54 299.0328
8 58 233.6787
8 62 251.8967
8 63 293.7859
8 66 206.3064
8 81 180.6516
8 83 283.0441
8 88 293.7760
8 91 228.3345
8 96 282.5820
8 99 66.0966
9 10 91.2459
9 13 297.2039
9 27 151.9170
9 30 216.7694
9 33 274.1177
9 41 228.5114
9 58 174.3215
9 69 292.7979
9 91 300.7498
9 99 231.8580
10 13 264.3560
10 14 302.5083
10 27 152.7506
10 30 158.7734
10 33 234.7813
10 35 300.0313
10 41 262.0269
10 47 242.9215
10 58 146.4586
10 60 300.2279
10 69 243.5758
10 81 278.1376
10 91 216.6183
10 99 160.5378
11 23 284.1070
11 24 202.7727
11 41 298.0308
11 55 162.9582
12 20 182.5946
12 22 217.2586
12 25 259.2768
12 26 107.4682
12 31 260.2238
12 34 43.7159
12 36 208.1925
12 37 122.2934
12 38 125.8415
12 45 250.4831
12 46 189.1977
12 49 152.0770
12 51 132.6740
12 52 220.9377
12 53 189.8759
12 54 198.2218
12 61 283.4361
12 63 187.0982
12 64 297.4377
12 66 282.3597
12 68 124.9114
12 70 272.0932
12 71 253.5548
12 72 183.9254
12 73 198.4400
12 76 254.8289
12 77 240.3203
12 80 120.1043
12 81 297.9650
12 83 291.3718
12 84 236.4971
12 89 211.4937
12 95 249.1629
12 98 177.4836
13 23 130.6546
13 31 124.2182
13 33 33.7230
13 41 194.2267
13 47 117.6241
13 54 135.6874
13 55 265.4311
13 63 147.8976
13 66 137.2516
13 81 89.3249
13 83 109.6872
13 84 248.6995
13 95 293.6605
13 99 148.9266
14 17 270.9108
