500 999
109 6 7077.7993
109 178 4467.3440
178 267 4476.9021
6 468 8667.4605
109 471 1002.5920
267 298 3399.1400
267 42 884.1392
298 50 3261.6018
6 203 9465.0032
42 206 2477.3199
206 132 9472.1205
298 79 176.4776
109 81 1396.9258
178 404 4211.3615
404 201 1988.6601
298 14 7362.6250
206 347 6095.5287
109 74 7791.1839
109 386 6369.4046
109 171 474.5603
132 484 28.2706
74 431 1336.8021
74 348 8693.2476
171 62 7090.5214
50 447 5352.0592
267 382 4133.5103
132 26 4983.9954
447 249 4373.3566
249 83 5625.0722
447 314 8371.8996
74 499 4384.0878
348 212 6050.8271
431 60 3201.5026
468 406 2567.5616
347 365 5980.5786
471 55 8421.7117
298 389 4438.9385
484 357 1749.4649
62 229 6562.5338
109 86 6465.4620
26 220 9316.5182
447 469 1590.2185
55 494 4196.0875
50 351 3766.0625
431 129 5348.8803
298 241 2781.0846
203 385 7574.9832
385 482 3186.8218
201 478 2264.6411
14 464 2089.0911
267 181 5944.3632
60 343 1128.6446
50 46 3718.5357
181 207 4721.5274
484 403 5270.6271
171 133 3143.1366
494 183 7976.8844
74 473 1163.0719
241 398 8117.0483
42 156 2472.7466
386 126 2400.5081
343 27 7605.6344
6 221 1169.2437
206 111 1423.0701
389 13 8280.6613
212 421 5000.1394
473 397 7495.9925
156 157 1636.9290
398 394 7138.6197
347 122 3429.3145
394 137 1071.7825
79 427 9019.0045
241 260 6169.9600
46 16 6539.0515
83 291 5656.7807
171 231 9764.1522
406 434 5734.8822
74 75 4100.1189
122 143 4242.3078
351 411 7396.8250
241 284 6052.9738
499 481 1332.9281
343 323 5974.2320
494 446 420.7204
365 97 5667.3273
471 106 1194.6127
249 124 176.0000
494 460 6245.8471
171 159 395.4218
494 293 5885.5532
469 125 5048.3642
178 113 3884.9879
16 436 6788.7233
394 390 9289.1707
471 443 2004.3149
143 326 2749.1163
60 316 6122.3445
124 177 4626.1755
385 488 4343.6137
181 269 5507.7965
406 20 7132.7449
464 218 2680.6130
464 274 3001.2910
62 418 3056.1305
74 21 4723.0379
229 283 8963.2560
418 322 8918.8907
386 420 5234.7973
267 459 9390.2535
83 48 3547.3355
274 160 2386.0341
284 311 8815.9684
125 341 1519.5317
178 487 4417.7552
111 336 4578.7463
124 258 8192.2356
133 401 7189.8421
314 453 5875.5833
394 417 3928.8723
97 263 9453.1064
417 489 4026.3451
137 493 4062.4991
177 490 8949.0497
494 197 5818.2043
468 366 7613.3045
267 161 4706.2222
394 315 2430.1249
132 288 9499.0622
490 107 3303.3759
394 29 5817.3811
499 130 5027.0879
288 235 8473.1641
397 110 7823.0099
29 409 1332.0429
284 105 8856.0806
159 76 4072.5210
434 402 1719.5047
42 272 8431.8567
156 261 9655.8585
122 63 4044.3016
322 12 7310.9129
314 297 5156.8410
284 307 8224.9838
411 25 3735.8405
488 51 6901.9299
446 168 7149.2767
50 121 2666.4726
443 353 6582.3095
201 381 3916.4476
218 305 2625.2432
417 474 4817.9122
402 361 5845.5783
178 350 3936.0433
46 438 1556.2514
397 388 3983.9518
177 36 3036.5632
110 424 7558.3695
357 194 2824.7504
130 214 5739.1184
79 329 3938.1717
159 252 5186.4062
341 202 4901.2213
160 303 8276.6269
161 91 1520.2188
493 216 1750.8712
206 227 4415.7498
261 376 9801.8755
260 444 9057.0875
329 127 4351.8511
464 372 6969.2498
411 335 7720.4100
420 112 4385.9420
130 174 9081.7464
263 280 9307.0191
212 480 7711.3006
76 35 5399.5729
110 186 2167.5639
12 19 7549.1516
16 53 1597.2368
220 41 8489.3113
79 172 8719.1608
6 138 2246.6800
201 256 3866.2526
366 49 7369.5036
207 92 8637.9531
284 472 2732.0837
91 134 3240.4971
372 96 1884.0883
471 450 3387.3827
160 34 6375.8599
427 18 4457.2817
76 71 3313.1760
212 108 8966.8097
401 154 3784.6390
417 192 8932.0484
75 200 6546.9065
106 369 5033.3679
20 356 1462.5898
411 445 7967.2669
111 415 7683.6803
132 196 1677.6113
499 458 4824.0538
471 58 153.3401
143 80 1383.4120
6 193 8363.4115
260 190 1583.4825
46 259 2990.1516
487 175 4470.6062
171 286 9451.6342
388 223 7713.0955
34 435 8721.5022
6 395 3545.8769
83 236 5990.7560
122 4 2610.4385
252 64 1134.9012
356 358 2222.6578
404 413 4893.4842
201 432 9579.1665
280 43 4110.5635
323 355 2092.3312
406 213 651.8215
361 45 9579.7512
18 155 9707.2861
381 158 7072.2028
71 276 1002.7003
