Tamanho_V;Nome_Arquivo;Algoritmo;Peso_AGM;Media_Tempo_Leitura_s;Media_Tempo_Algoritmo_s;Desvio_Padrao_Algoritmo_s
100;denso_V100.txt;Prim;439.8534;0.001300;0.000000;0.000000
100;denso_V100.txt;Kruskal;439.8534;0.001300;0.000200;0.000422
1000;denso_V1000.txt;Prim;4034.0490;0.014800;0.001100;0.002234
1000;denso_V1000.txt;Kruskal;4034.0490;0.016600;0.003000;0.003018
10000;denso_V10000.txt;Prim;38739.7383;0.173400;0.041800;0.003553
10000;denso_V10000.txt;Kruskal;38739.7383;0.170400;0.033500;0.003308
500;denso_V500.txt;Prim;2006.8324;0.007600;0.000800;0.002201
500;denso_V500.txt;Kruskal;2006.8324;0.006600;0.001100;0.001663
5000;denso_V5000.txt;Prim;18877.1044;0.083300;0.012200;0.002394
5000;denso_V5000.txt;Kruskal;18877.1044;0.083400;0.014700;0.001059
100;esparso_V100.txt;Prim;3528.2430;0.000000;0.000000;0.000000
100;esparso_V100.txt;Kruskal;3528.2430;0.000000;0.000000;0.000000
1000;esparso_V1000.txt;Prim;35851.9030;0.001100;0.000000;0.000000
1000;esparso_V1000.txt;Kruskal;35851.9030;0.001400;0.000000;0.000000
10000;esparso_V10000.txt;Prim;371101.1401;0.010800;0.002500;0.002915
10000;esparso_V10000.txt;Kruskal;371101.1401;0.011300;0.002600;0.002951
500;esparso_V500.txt;Prim;18066.3059;0.000000;0.000000;0.000000
500;esparso_V500.txt;Kruskal;18066.3059;0.000100;0.000000;0.000000
5000;esparso_V5000.txt;Prim;184261.6557;0.005500;0.001700;0.002312
5000;esparso_V5000.txt;Kruskal;184261.6557;0.006200;0.001000;0.002309
100;geometrico_V100.txt;Prim;7197.4430;0.000500;0.000000;0.000000
100;geometrico_V100.txt;Kruskal;7197.4430;0.000100;0.000000;0.000000
1000;geometrico_V1000.txt;Prim;23581.2602;0.010800;0.000700;0.002214
1000;geometrico_V1000.txt;Kruskal;23581.2602;0.012600;0.000100;0.000316
10000;geometrico_V10000.txt;Prim;74100.5878;0.243000;0.024400;0.003565
10000;geometrico_V10000.txt;Kruskal;74100.5878;0.235100;0.045800;0.003765
500;geometrico_V500.txt;Prim;14371.5905;0.005400;0.000700;0.001494
500;geometrico_V500.txt;Kruskal;14371.5905;0.006900;0.000700;0.002214
5000;geometrico_V5000.txt;Prim;52697.8857;0.087700;0.005100;0.001912
5000;geometrico_V5000.txt;Kruskal;52697.8857;0.081100;0.014200;0.002440
100;pesos_aleatorios_V100.txt;Prim;307281.7474;0.000600;0.000000;0.000000
100;pesos_aleatorios_V100.txt;Kruskal;307281.7474;0.000000;0.000000;0.000000
1000;pesos_aleatorios_V1000.txt;Prim;2864177.9294;0.001600;0.000600;0.001897
1000;pesos_aleatorios_V1000.txt;Kruskal;2864177.9294;0.001700;0.000000;0.000000
10000;pesos_aleatorios_V10000.txt;Prim;28339453.3871;0.015800;0.004500;0.003171
10000;pesos_aleatorios_V10000.txt;Kruskal;28339453.3871;0.016800;0.003900;0.002767
500;pesos_aleatorios_V500.txt;Prim;1367743.4724;0.001100;0.000100;0.000316
500;pesos_aleatorios_V500.txt;Kruskal;1367743.4724;0.000000;0.000000;0.000000
5000;pesos_aleatorios_V5000.txt;Prim;14097897.3447;0.007500;0.002900;0.003107
5000;pesos_aleatorios_V5000.txt;Kruskal;14097897.3447;0.007200;0.003600;0.003307
